Date,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,AAP,AMD,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,APA,AAPL,AMAT,APTV,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,BKR,BLL,BAC,BBWI,BAX,BDX,BRK-B,BBY,BIO,TECH,BIIB,BLK,BK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BRO,BF-B,CHRW,CDNS,CZR,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CDAY,CERN
31/10/2019,1.42E-12,2.82E-12,3.93E-12,5.62E-17,1.00E-16,1.27E-11,6.61E-12,3.10E-11,1.68E-11,3.78E-12,6.33E-13,3.16E-12,1.89E-16,7.48E-12,2.38E-16,6.35E-12,1.22E-16,5.66E-12,5.60E-16,4.47E-09,1.04E-11,3.86E-17,1.18E-11,1.00E-16,2.19E-11,2.97E-16,1.07E-16,7.37E-12,2.90E-12,1.51E-15,1.14E-11,1.63E-17,2.18E-17,1.81E-17,1.13E-16,3.17E-18,1.18E-11,5.58E-18,2.20E-17,8.95E-17,1.30E-11,7.59E-11,5.77E-12,1.93E-11,6.57E-15,1.57E-17,1,3.48E-11,2.39E-17,4.67E-16,6.06E-17,2.11E-11,5.30E-18,8.25E-17,1.65E-16,1.46E-11,3.30E-12,4.98E-12,7.64E-12,5.07E-12,1.05E-17,4.00E-12,6.04E-16,5.44E-16,1.95E-17,5.70E-17,5.22E-17,1.70E-17,6.63E-12,1.96E-16,4.05E-17,9.68E-12,8.61E-12,5.65E-17,1.34E-16,4.81E-18,8.88E-12,1.04E-12,2.89E-16,8.74E-17,8.29E-12,1.46E-15,1.96E-11,1.77E-17,1.85E-11,1.78E-11,4.86E-12,1.55E-17,2.90E-11,0,6.89E-17,6.61E-13,6.80E-23,2.61E-16,4.24E-11,3.30E-12,1.81E-16,5.98E-13,0,6.21E-12
29/11/2019,0,1.20E-16,0.001112045,0.025880228,0.035452977,0.006768497,0.022173605,1.56E-17,0.010483273,1.73E-18,0.046979338,0.022527127,0.010580163,1.04E-17,5.20E-18,0.002864322,0.000686133,3.47E-18,0.026195958,0.052251193,0.017732923,0.012405583,0,0.013510152,0.01547683,0,0.022722462,6.94E-18,0.007254355,0,0.008600928,0.007219614,0.02485805,0.013403354,0.010336982,0.006679752,0.014922689,0,0.008712043,6.94E-18,0,0.025912995,0.035347673,0.000567264,0,0.026112437,0.032641807,3.47E-18,0.001479016,0.001500261,0.011780999,0.000669874,0.010626359,0.004039338,1.39E-17,0.00335044,0.011023371,0.029999907,0.001871129,0.019609758,0.007251455,8.67E-18,0.020433435,0.019872248,1.73E-18,0.015582176,0.001446684,0.034586481,0.02675234,0,0.013472178,5.20E-18,0.022984286,0.002041916,0.006608888,0.015226603,0.010416518,0.0162363,0,0.009999977,0.008507172,0,0.002166146,0.023280425,0,5.20E-18,0.006158443,0.003355302,8.67E-18,0,0.003966953,0.016376361,1.73E-18,0,0.012119544,0.004889307,0.03194566,0,0,1.73E-18
31/12/2019,9.87E-13,6.36E-13,5.04E-17,3.92E-13,9.06E-12,7.67E-11,6.27E-16,3.04E-12,1.75E-14,1.33E-12,1.77E-12,7.71E-13,1.15E-15,9.63E-17,2.79E-16,1.08E-16,3.76E-12,2.68E-12,1.91E-12,4.32E-13,1.58E-12,1.34E-12,9.52E-18,1.06E-15,2.19E-16,1.17E-16,6.35E-13,2.28E-12,9.75E-17,3.67E-12,1.19E-15,1.00E-10,1.25E-12,2.69E-17,7.52E-13,5.39E-17,1.71E-16,1.07E-12,1.03E-16,1.30E-15,9.37E-13,5.05E-16,8.36E-17,5.61E-11,4.34E-17,2.96E-11,4.63E-17,9.05E-14,2.82E-12,1.96E-17,3.23E-16,6.72E-14,4.08E-11,1.57E-17,9.37E-16,9.81E-13,2.63E-13,2.86E-12,1.52E-16,1.09E-12,4.66E-13,1.37E-12,6.33E-13,1.33E-13,5.00E-17,4.06E-17,4.69E-13,9.90E-17,5.15E-11,2.78E-17,4.93E-13,4.72E-17,6.00E-16,8.47E-14,4.30E-13,2.94E-13,1,7.05E-13,2.03E-16,5.69E-16,1.37E-12,7.01E-13,9.32E-13,1.43E-16,8.63E-14,1.73E-12,1.47E-17,1.28E-16,4.02E-16,0,2.27E-17,8.67E-13,1.71E-12,8.94E-12,5.30E-13,1.83E-16,3.72E-13,3.62E-17,0,7.22E-13
31/1/2020,2.81E-16,2.19E-17,1.42E-12,2.87E-13,2.84E-16,1.98E-17,1.75E-12,7.91E-13,6.08E-14,8.30E-17,7.00E-13,6.01E-13,3.36E-17,1.53E-16,5.97E-17,7.68E-13,3.67E-17,2.33E-12,3.88E-13,4.31E-17,1.02E-12,9.93E-13,1.00E-12,3.19E-13,3.76E-16,1.09E-12,2.35E-12,3.15E-17,1.96E-13,5.57E-14,2.54E-17,8.66E-14,1.42E-12,1.61E-12,1.86E-13,2.10E-17,5.87E-13,2.09E-13,3.30E-17,6.90E-13,1.68E-12,7.54E-14,6.89E-17,8.27E-17,1.22E-12,1,1.70E-12,5.51E-17,2.58E-17,2.81E-17,1.10E-12,1.63E-12,3.74E-14,1.07E-17,1.02E-16,9.13E-17,2.42E-16,1.80E-16,3.25E-13,8.86E-17,7.78E-17,3.47E-12,9.72E-13,1.33E-14,2.24E-17,2.59E-17,2.94E-17,1.17E-13,9.90E-18,9.69E-14,2.19E-17,3.18E-17,3.57E-13,1.05E-12,2.68E-17,2.24E-16,1.25E-14,1.65E-17,1.38E-17,2.19E-16,1.06E-16,5.75E-17,2.39E-13,3.07E-13,5.03E-13,7.34E-17,9.84E-14,5.72E-13,3.89E-13,0,3.20E-17,3.55E-17,8.51E-13,2.75E-17,1.04E-16,6.03E-13,1.58E-17,6.76E-17,0,6.33E-17
28/2/2020,0,2.12E-16,0,3.30E-16,6.77E-16,3.64E-16,0.013181342,5.90E-16,1.67E-16,1.82E-16,0.014314462,3.16E-16,0,0,0,0.049032675,2.74E-16,0,4.34E-17,0,0,0,1.49E-16,1.70E-16,1.49E-16,1.84E-16,0,4.37E-16,6.77E-17,0,0,9.54E-17,0,1.63E-16,1.21E-16,2.65E-16,0,6.25E-17,0,2.43E-16,4.06E-16,0.096886508,5.38E-16,2.17E-16,0,0.162729978,0,0,1.63E-16,7.29E-17,0,1.87E-16,0,0,1.01E-16,0,0,0,5.20E-17,0,0,2.01E-16,0,2.20E-16,1.09E-16,1.04E-17,0,4.16E-17,0,0,0,0,0,3.43E-16,0,0,0.283979575,0,0,0.199345694,0.180529767,0,0,0,0,1.42E-16,1.51E-16,6.07E-17,0,0,1.11E-16,0,0,0,2.43E-17,0,1.14E-16,3.23E-16,0,0
31/3/2020,1.46E-18,0,0,1.88E-18,0,0,0.061840207,2.98E-18,0,0,4.24E-18,1.11E-19,1.49E-19,0,2.11E-19,0.305944421,0,5.06E-20,0,7.93E-18,1.67E-18,0,1.58E-18,7.99E-19,0,0,0,6.59E-19,1.97E-19,0,2.14E-19,6.47E-19,1.17E-18,0.036134957,0.011018565,1.20E-18,0.007823095,1.66E-18,0,2.68E-19,0,6.42E-19,2.37E-19,0,0,0,1.83E-18,0,9.72E-19,0,0,8.36E-19,0,1.21E-18,8.41E-20,0,0,9.96E-19,6.32E-20,6.62E-19,2.35E-18,0,0,4.71E-19,7.95E-20,3.68E-18,0,0,0.182309313,0,0,0,4.46E-19,4.60E-19,1.61E-19,0,0,5.58E-19,1.22E-19,2.99E-18,3.68E-19,4.61E-19,5.42E-20,5.55E-19,0,0,2.15E-19,6.29E-19,3.97E-19,0,1.12E-17,2.37E-18,4.83E-19,8.22E-19,8.06E-19,3.03E-19,0.394929441,0,0,3.06E-19
30/4/2020,0.010605113,0.010741109,0.010052838,0.010227103,0.009537486,0.010279516,0.010537281,0.010426746,0.009926458,0.011537787,0.007125631,0.010709143,0.010548716,0.010322833,0.010190115,0.011552437,0.009634705,0.010480669,0.011247321,0.007693182,0.00974193,0.011160952,0.010883594,0.010466442,0.010430633,0.011025722,0.009427495,0.010089713,0.011749148,0.009604438,0.010994905,0.010155028,0.011065617,0.011410136,0.011079865,0.010423452,0.011516978,0.010125747,0.009184805,0.010052478,0.010005679,0.00959996,0.010122288,0.010571521,0.002854259,0.009280233,0.010023649,0.009424924,0.010688145,0.010861825,0.01149788,0.010973423,0.011340809,0.00904549,0.01059245,0.010384935,0.011328867,0.009871323,0.00899282,0.011111552,0.009754558,0.011525671,0.010577529,0.010327483,0.010423131,0.008839195,0.010240028,0.010250605,0.011240567,0.009650587,0.010356508,0.011621917,0.010151822,0.010248206,0.011167455,0.009988305,0.00924841,0.009352005,0.010520218,0.010361951,0.010170186,0.011487436,0.009992549,0.007148971,0.011178253,0.009487239,0.01067295,0.009659892,0.009504352,0,0.008572515,0.010134619,0.011599379,0.009769275,0.009865696,0.010704731,0.009802185,0.011244852,0,0.010621473
29/5/2020,0.010568329,0.010942126,0.010058184,0.010123786,0.009396047,0.010124679,0.010612672,0.010490203,0.009811665,0.011746945,0.00611195,0.010724527,0.010841483,0.010363405,0.010317226,0.012132999,0.009578305,0.010471547,0.011486309,0.007219778,0.009884078,0.011378544,0.011173038,0.010202169,0.01016065,0.011164178,0.009169961,0.010265658,0.012117437,0.009734197,0.011193191,0.010164182,0.011326327,0.011539579,0.011413355,0.010685535,0.011932955,0.010184524,0.008814717,0.010135084,0.009867747,0.009499931,0.009905942,0.010709946,0.000933818,0.008981251,0.009726764,0.009149356,0.01074628,0.01106178,0.011904527,0.011180776,0.011619217,0.008697576,0.01067944,0.010348195,0.011515929,0.009837257,0.008723086,0.011398686,0.009665034,0.01190472,0.01055351,0.010308108,0.0105798,0.00834779,0.010130829,0.010436108,0.011729189,0.009716699,0.010220256,0.012216127,0.01020803,0.010654919,0.011242077,0.009939584,0.009006207,0.008977571,0.010764593,0.010357089,0.010320986,0.011941401,0.00995834,0.005830341,0.011312311,0.009357186,0.010996994,0.009518053,0.00902703,0,0.008212835,0.010376609,0.01175218,0.009527825,0.009829849,0.010957473,0.00965018,0.011371336,0,0.010851798
30/6/2020,0.004560135,0.005920077,0.004120721,0.014131588,0.007278269,0.01922205,0.013535124,0.010301077,0.022570126,0.00489578,0.025143156,0.014085101,0,0.010218635,0.007809653,0.011091685,0.015848537,0.009785586,0.008518558,0.025388012,0.012612861,0.002457434,0.001165561,0.006338602,0.006090722,0.007445327,0.020787657,0.012069307,0,0.025714024,0,0.009970281,0.007198561,0.011475387,0.011307521,0.019001826,0.010445614,0.004842245,0.019888635,0.006962401,0.01472717,0.014095144,0,0.008582722,0.042853502,0.030759008,0.018258961,0.009028253,6.94E-18,0.015824288,0.005195068,0.003069869,1.73E-18,0.02395305,0.009240339,0.008142258,0.000773133,0.009815547,0,0.006252036,0.007423372,1.73E-17,3.47E-18,0.004677449,0.003140546,0.020211485,0.00536645,0.008308236,3.47E-18,0.012452126,0.004988513,0.019066714,0.005241375,0.015082459,0.005586146,3.47E-18,0.015606183,0.01223682,0.013565545,0.015233568,0.00377641,0.0049324,0.014810177,0.042991999,0.011895102,0.00414841,0.001837967,0.013942598,0.008886779,0,0.015042174,0.006880565,0.000767718,0.0132747,0.015632813,0.00185795,0.012405301,0.005232375,0,0.002729391
31/7/2020,0,7.81E-17,0,0,2.19E-16,1.56E-17,0.024746309,0,0.030681938,0,0.114277051,0.040455225,5.90E-17,6.07E-17,3.30E-17,0.050961564,0,2.60E-17,0.049743091,0,0,0.036386863,0,0,3.30E-17,0.021950832,0.047892893,1.60E-16,0.047309198,0,5.72E-17,0,0,0.051573627,0.072337068,0,0,4.34E-17,6.94E-17,4.68E-17,3.30E-17,7.63E-17,0,8.85E-17,0,0.128984661,1.73E-18,0,0.016912883,0.017163589,0,1.04E-17,0.004093898,0,1.39E-17,2.08E-17,5.20E-18,0,0,3.47E-18,0,0.162325301,0,0.003799676,0,0,0,9.54E-17,1.21E-17,0,8.67E-18,0,1.73E-17,4.34E-17,2.60E-17,0,0,2.60E-17,8.67E-18,0.027054896,4.86E-17,0.005366505,0.001295241,1.44E-16,0.006598598,1.21E-17,5.72E-17,0,1.44E-16,0,8.67E-18,0,0,6.42E-17,0,8.15E-17,0.038089093,2.08E-17,0,8.15E-17
